Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1998","1998","°c","1.854","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1999","1999","°c","0.93","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2000","2000","°c","1.114","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2001","2001","°c","0.943","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2002","2002","°c","1.018","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2003","2003","°c","1.27","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2004","2004","°c","0.794","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2005","2005","°c","1.344","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2006","2006","°c","1.059","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2007","2007","°c","1.099","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2008","2008","°c","0.632","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2009","2009","°c","0.801","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2010","2010","°c","2.114","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2011","2011","°c","1.089","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2012","2012","°c","0.914","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2013","2013","°c","0.989","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2014","2014","°c","1.18","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2015","2015","°c","0.847","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2016","2016","°c","1.979","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2017","2017","°c","1.257","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2018","2018","°c","1.162","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2019","2019","°c","1.481","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2020","2020","°c","1.471","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2021","2021","°c","1.435","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","2022","2022","°c","1.41","E","Estimated value"
